Flight No.,Timestamp,Altitude,Latitude,Longitude
AA101,1530277200,3.90E+04,5.09E+01,-3.87E+01
AA109,1530277200,3.30E+04,6.03E+01,-1.22E+01
AA111,1530277200,3.90E+04,5.27E+01,-1.81E+01
AA113,1530277200,3.70E+04,4.30E+01,-1.11E+01
AA151,1530277200,3.64E+04,4.70E+01,-2.77E+01
AA198,1530277200,0.00E+00,3.99E+01,-7.30E+01
AA199,1530277200,3.70E+04,5.31E+01,-2.38E+01
AA204,1530277200,0.00E+00,4.02E+01,-7.36E+01
AA209,1530277200,3.80E+04,5.82E+01,-5.90E+01
AA221,1530277200,3.40E+04,5.97E+01,-5.18E+01
AA25,1530277200,3.40E+04,5.12E+01,-4.32E+01
AA258,1530277200,0.00E+00,3.92E+01,-8.13E+00
AA259,1530277200,3.40E+04,4.27E+01,-2.22E+01
AA291,1530277200,3.49E+04,4.99E+01,-4.56E+01
AA37,1530277200,3.60E+04,4.40E+01,-4.03E+01
AA39,1530277200,3.20E+04,5.32E+01,-9.80E+00
AA45,1530277200,3.56E+04,4.89E+01,-4.48E+01
AA47,1530277200,4.00E+04,5.48E+01,-6.75E+01
AA51,1530277200,3.40E+04,4.85E+01,-5.21E+01
AA53,1530277200,3.50E+04,5.32E+01,-2.18E+01
AA57,1530277200,3.30E+04,4.94E+01,-4.90E+01
AA67,1530277200,3.80E+04,4.35E+01,-4.60E+01
AA705,1530277200,3.90E+04,4.84E+01,-5.27E+01
AA71,1530277200,3.00E+04,6.10E+01,-3.51E+01
AA715,1530277200,3.70E+04,5.00E+01,-1.26E+01
AA717,1530277200,3.80E+04,5.14E+01,-4.14E+01
AA719,1530277200,3.40E+04,4.65E+01,-1.61E+01
AA721,1530277200,3.48E+04,4.54E+01,-2.24E+01
AA723,1530277200,3.10E+04,5.27E+01,-3.16E+01
AA725,1530277200,3.80E+04,4.94E+01,-5.26E+01
AA731,1530277200,3.30E+04,5.34E+01,-2.11E+01
AA735,1530277200,3.40E+04,5.30E+01,-2.41E+01
AA741,1530277200,3.77E+04,4.29E+01,-1.87E+01
AA743,1530277200,3.70E+04,4.40E+01,-1.19E+01
AA745,1530277200,3.30E+04,4.33E+01,-3.04E+00
AA749,1530277200,3.87E+04,4.29E+01,-2.34E+01
AA751,1530277200,3.80E+04,5.30E+01,-3.05E+01
AA755,1530277200,3.80E+04,4.87E+01,-4.65E+01
AA759,1530277200,3.70E+04,5.30E+01,-1.68E+01
AA87,1530277200,3.00E+04,5.76E+01,-1.92E+01
AA93,1530277200,3.59E+04,4.87E+01,-2.12E+01
AA97,1530277200,3.40E+04,5.49E+01,-1.65E+01
BA117,1530277200,3.80E+04,4.66E+01,-6.03E+01
BA173,1530277200,3.70E+04,5.33E+01,-2.82E+01
BA174,1530277200,0.00E+00,4.05E+01,-7.35E+01
BA175,1530277200,3.61E+04,5.00E+01,-4.51E+01
BA178,1530277200,3.70E+04,4.43E+01,-6.87E+01
BA179,1530277200,0.00E+00,5.15E+01,-7.44E-01
BA185,1530277200,3.90E+04,5.24E+01,-3.43E+01
